-001	.025	.033	0.64	0.84	.037	.043	0.94	1.09	.0003	0.005
-002	.038	.046	0.97	1.17	.047	.053	1.19	1.35	.0006	0.010
-003	.052	.060	1.32	1.52	.057	.063	1.45	1.60	.0010	0.016
-004	.065	.075	1.65	1.91	.067	.073	1.70	1.85	.0017	0.028
-005	.096	.106	2.44	2.69	.067	.073	1.70	1.85	.0021	0.034
-006	.109	.119	2.77	3.02	.067	.073	1.70	1.85	.0022	0.036
-007	.140	.150	3.56	3.81	.067	.073	1.70	1.85	.0026	0.043
-008	.171	.181	4.34	4.60	.067	.073	1.70	1.85	.0030	0.049
-009	.203	.213	5.16	5.41	.067	.073	1.70	1.85	.0034	0.056
-010	.234	.244	5.94	6.20	.067	.073	1.70	1.85	.0037	0.061
-011	.296	.306	7.52	7.77	.067	.073	1.70	1.85	.0045	0.074
-012	.359	.369	9.12	9.37	.067	.073	1.70	1.85	.0052	0.085
-013	.421	.431	10.69	10.95	.067	.073	1.70	1.85	.0060	0.098
-014	.484	.494	12.29	12.55	.067	.073	1.70	1.85	.0068	0.111
-015	.544	.558	13.82	14.17	.067	.073	1.70	1.85	.0075	0.123
-016	.605	.623	15.37	15.82	.067	.073	1.70	1.85	.0083	0.136
-017	.667	.685	16.94	17.40	.067	.073	1.70	1.85	.0090	0.147
-018	.730	.748	18.54	19.00	.067	.073	1.70	1.85	.0098	0.161
-019	.792	.810	20.12	20.57	.067	.073	1.70	1.85	.0105	0.172
-020	.855	.873	21.72	22.17	.067	.073	1.70	1.85	.0113	0.185
-021	.917	.935	23.29	23.75	.067	.073	1.70	1.85	.0120	0.197
-022	.979	.999	24.87	25.37	.067	.073	1.70	1.85	.0128	0.210
-023	1.041	1.061	26.44	26.95	.067	.073	1.70	1.85	.0136	0.223
-024	1.104	1.124	28.04	28.55	.067	.073	1.70	1.85	.0143	0.234
-025	1.165	1.187	29.59	30.15	.067	.073	1.70	1.85	.0151	0.247
-026	1.228	1.250	31.19	31.75	.067	.073	1.70	1.85	.0158	0.259
-027	1.290	1.312	32.77	33.32	.067	.073	1.70	1.85	.0166	0.272
-028	1.351	1.377	34.32	34.98	.067	.073	1.70	1.85	.0173	0.283
-029	1.476	1.502	37.49	38.15	.067	.073	1.70	1.85	.0188	0.308
-030	1.601	1.627	40.67	41.33	.067	.073	1.70	1.85	.0204	0.334
-031	1.724	1.754	43.79	44.55	.067	.073	1.70	1.85	.0219	0.359
-032	1.849	1.879	46.96	47.73	.067	.073	1.70	1.85	.0234	0.383
-033	1.971	2.007	50.06	50.98	.067	.073	1.70	1.85	.0249	0.408
-034	2.096	2.132	53.24	54.15	.067	.073	1.70	1.85	.0264	0.433
